gene_id	gene	gene_type	locus	E00_R1	E00_R2	E00_R3	E00.8_R1	E00.8_R2	E00.8_R3	E01_R1	E01_R2	E01_R3	E02_R1	E02_R2	E02_R3	E05_R1	E05_R2	E05_R3	E15_R1	E15_R2	E15_R3	E30_R1	E30_R2	E30_R3	M00_R1	M00_R2	M00_R3
ENSG00000171345.13	KRT19	protein_coding	chr17:41523617-41528308	457	284	2437	1337	213	1093	548	746	1608	1715	2045	1705	119	2379	1080	235	4119	6551	158	428	258	82	608	16
ENSG00000054654.15	SYNE2	protein_coding	chr14:63852983-64226432	1916	1106	11929	4741	615	3331	1230	1585	4207	3993	3069	2943	404	7005	4524	102	979	2147	33	221	271	71	281	15
ENSG00000123130.16	ACOT9	protein_coding	chrX:23702253-23743273	340	165	1893	866	106	590	316	472	1064	858	977	1032	98	1289	853	77	843	1587	71	790	407	61	568	30
ENSG00000185015.7	CA13	protein_coding	chr8:85220587-85250797	30	0	154	99	12	39	24	21	38	52	24	70	7	61	44	13	43	81	3	15	14	7	24	1
ENSG00000181396.12	OGFOD3	protein_coding	chr17:82389223-82418637	134	66	634	321	56	253	60	109	322	212	252	214	23	462	283	18	140	191	25	170	60	28	160	7
ENSG00000155980.11	KIF5A	protein_coding	chr12:57549998-57586632	578	305	4348	1257	262	1061	381	575	1334	1664	1216	1565	152	2610	1014	12	145	164	1	67	15	4	56	1
ENSG00000170004.16	CHD3	protein_coding	chr17:7884806-7912760	383	228	2551	1258	278	973	349	493	1404	1187	1147	1077	93	1315	495	75	1042	2287	579	4522	2160	399	3687	173
ENSG00000149115.13	TNKS1BP1	protein_coding	chr11:57299638-57324952	1256	534	7860	3149	462	2774	930	1133	3970	2543	3189	2804	253	3944	2272	132	2005	2151	251	1542	571	216	1998	138
ENSG00000137171.14	KLC4	protein_coding	chr6:43040777-43075087	139	83	643	375	95	213	150	130	395	430	394	416	30	634	252	25	371	445	22	150	62	17	238	8
ENSG00000033867.16	SLC4A7	protein_coding	chr3:27372721-27484420	615	236	5288	1990	191	1375	547	429	1653	1301	1118	1954	197	3155	2059	117	1216	2164	134	524	255	148	865	66
ENSG00000275342.4	SGK223	protein_coding	chr8:8317736-8381747	224	114	1500	542	61	382	163	195	530	454	443	551	35	741	445	126	2057	2311	49	430	260	10	89	4
ENSG00000152291.13	TGOLN2	protein_coding	chr2:85318020-85328296	1131	422	6133	2887	354	2024	566	708	2176	1823	1716	2140	160	2797	1535	285	3193	3518	859	4860	1793	558	4195	276
ENSG00000020426.10	MNAT1	protein_coding	chr14:60734742-60753954	100	88	414	298	44	176	50	131	238	183	211	241	14	331	190	11	118	195	13	123	74	6	166	3
ENSG00000010810.17	FYN	protein_coding	chr6:111660332-111720062	521	242	3557	1312	176	837	428	542	1262	1156	1089	963	111	1963	808	91	1359	1790	79	778	340	128	714	55
ENSG00000130311.10	DDA1	protein_coding	chr19:17309518-17320492	215	164	1559	607	93	402	167	243	547	552	473	458	37	1037	478	85	1397	1611	108	1092	368	49	496	42
ENSG00000137601.15	NEK1	protein_coding	chr4:169393275-169612612	249	113	1153	518	71	356	161	168	391	491	572	503	49	841	517	31	344	511	58	305	185	53	349	26
ENSG00000075340.22	ADD2	protein_coding	chr2:70607618-70768198	2436	1185	13686	5956	805	4296	1785	1982	5180	4834	5215	5170	363	7198	3662	118	692	1432	2	13	8	2	115	1
ENSG00000166963.12	MAP1A	protein_coding	chr15:43510958-43531620	241	90	717	684	117	424	119	119	328	133	212	156	20	574	321	328	6095	5525	1137	9847	2470	981	7472	513
ENSG00000144597.13	EAF1	protein_coding	chr3:15427355-15442613	288	57	1126	766	47	331	86	141	317	324	252	520	56	724	410	35	242	321	21	216	39	30	257	13
ENSG00000063515.2	GSC2	protein_coding	chr22:19148576-19150283	9	0	0	10	5	0	0	1	8	10	14	5	0	1	2	0	0	26	0	0	3	0	0	0
